substance_name,approval_countries
Ciclopirox olamine,"ARE, ARG, AUS, AUT, BFA, BGD, BGR, BLR, BRA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SGP, SVK, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Crataegus monogyna extract,AUS
Satumomab pendetide,"ESP, USA"
Immunoglobulin antivenom Echis leucogaster,
Tetryzoline phosphate,ITA
Aristolochia mollissima,
Medrysone,"ARG, AUS, COL, DEU, ESP, FRA, MEX, NLD, PAK, PRI, PRT, TUN, USA, ZAF"
Zileuton,"FRA, IND, PRI, USA"
Clorazepic acid,
Dihydroxyphenyl-tetrahydro-oxazine hcl,JPN
Asarum heterotropoides,"CHN, JPN"
Vabicaserin hydrochloride,
Cyclopenthiazide,"ARE, AUS, DNK, FIN, GBR, HKG, IRL, JPN, LTU, LVA, NLD, NZL, SWE, TWN, ZAF"
Tertomotide,
Phaseolus vulgaris tincture,DEU
Tara spinosa,
MEDI 7990,
Influenza vaccine rHA 3v (baculovirus),"MEX, USA"
Glucosamine sulfate,"ARE, ARG, ARM, AUS, AUT, BEL, BGD, BGR, BIH, BLR, BRA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, IRN, ISR, ITA, JOR, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, PRY, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB"
Dimethyl sulfoxide,"ARE, ARG, AUT, BFA, BLR, BRA, CAN, CHE, CHL, CHN, CIV, CZE, DEU, ECU, EGY, ESP, EST, GBR, HKG, HUN, IRL, ISR, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MNE, MYS, NLD, NOR, NZL, PAK, POL, ROM, RUS, SGP, SVK, THA, UKR, USA, VNM"
Dryopteris crassirhizoma rhizome,CHN
Gaultheria leucocarpa var. yunnanensis herb,CHN
Swertia spp. herb,"JPN, KOR"
Lagerstroemia indica,
Hematopoietic peripheral blood stem cells,
Lobelia seguinii herb,CHN
Oxocamphor,CHN
Alfentanil hydrochloride,"ARE, ARG, AUS, AUT, BEL, BRA, BWA, CAN, CHE, COL, CZE, DEU, ESP, EST, FIN, FRA, GBR, GRC, HKG, HUN, IRL, ITA, KOR, LBN, LTU, LUX, LVA, MYS, NLD, NOR, NZL, POL, PRI, PRT, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, USA, VEN, ZAF"
Plasmafibronectin,"CAN, CHE, COL"
Fosphenytoin,
Citrus spp. unripe fruit,"CHN, JPN"
Fucoidan,"CHN, DEU, IDN, TWN"
Fucus serratus thallus,
Dexamfetamin phosphate dibasic,SWE
Everolimus,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BRA, BWA, CAN, CHE, CHL, CIV, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LVA, MEX, MLT, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, ZAF, ZWE"
LY 3022855,
Methoxychlor,CAN
Talsaclidine fumarate,
Lauroguadine,
Glycolic acid,"ARE, ARG, AUS, BRA, CAN, CHL, COL, DOM, ECU, EGY, ESP, EST, GRC, IDN, IND, ITA, JOR, KOR, KWT, LBN, LTU, LVA, MAR, MEX, MYS, PAK, PER, PHL, POL, PRI, SAU, SGP, URY, USA, VEN"
Ascorbyl lactoside,"EST, GBR, LVA"
Panax ginseng dry extract,"BRA, CHN, ITA, PER"
SN 38,
Zinc undecylenate,"ARG, ARM, AUS, AUT, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CUB, CZE, DEU, DOM, ECU, ESP, EST, FIN, FRA, GBR, GRC, HKG, IDN, IRL, ISR, JPN, KOR, LTU, LVA, MEX, NLD, NZL, PAK, PER, PHL, PRI, RUS, SGP, SVK, THA, TUR, TWN, UKR, URY, USA, VEN, ZAF, ZMB"
Sinomenium acutum,"CHN, JPN"
Albutoin,
Phosphatidylinositol,"DEU, USA"
Pomaderris kumeraho,NZL
Lavandula latifolia herb,
Ladirubicin,
Dicentra formosa,DEU
Tolbutamide sodium,"AUS, BEL, DEU, GBR, JPN, NLD"
Grapiprant,
Lung,
Justicia adhatoda leaf,"ARM, BLR, GEO, KAZ, KGZ, LTU, LVA, MDA, MNG, MYS, PAK, RUS, TJK, TKM, UKR, USA, UZB"
Sepia officinalis extract,"DEU, LTU"
Thymus gland,"DEU, FRA, GBR, ROM, RUS, SWE, TWN, USA"
Ademetionine disulfate ditosylate,"ARG, AUS, COL, ITA, KOR, MEX, MYS, NZL, URY"
Lysimachia nummularia,"AUT, CHE, DEU, SWE"
Levornidazole,CHN
Boschniakia rossica,
Afegostat,
Ciclonicate,ESP
Hexafluronium,
Levothyroxine,"ARG, CHE, CHN, COL, CUB, DEU, ESP, GBR, IRL, ITA, NLD, PRI, USA, YUG"
Quinupramine,"BEL, FRA, KOR"
Clazakizumab,
Monarda fistulosa,
Origanum spp. herb,EST
Mannosulfan,
Lithospermum erythrorhizon herb,
Alpinia officinarum extract,"MYS, THA"
Isomolpan,
Physochlaina infundibularis,
Rheum palmatum root extract,AUS
Ilex aquifolium,"AUS, DEU, NLD, USA"
Helianthus annuus,"ARG, CAN, CHL, DEU, EST, IND, IRN, SGP, USA"
Bacitracin,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BRA, CAN, CHE, CHL, CHN, CIV, COD, COL, CUB, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, ISR, ITA, JOR, JPN, KEN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, URY, USA, VEN, YUG"
Barbital-phenacetin complex,JPN
Tarextumab,
E 7016,
Sodium aurotiosulfate dihydrate,
Lobeline hydrochloride,"AUS, CHN, CZE, JPN"
Glycyclamide,"IDN, ITA"
Bremelanotide,
Camptotheca acuminata seed,CHN
Ispronicline,
Streptococcus anginosus,MEX
Mumps vaccine live (Urabe Am9),"ARE, ARG, AUS, AUT, BEL, BFA, BGR, BRA, BWA, CHE, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FRA, GBR, HKG, IDN, IND, IRL, ITA, JOR, LBN, LTU, LVA, MAR, MYS, PAK, PER, PHL, ROM, SAU, SGP, SRB, SVK, THA, TUN, TUR, TWN, UKR, ZAF, ZMB"
Carthamus tinctorius seed oil,"AUS, MYS, USA, ZAF"
Ethylhydroxyethylcellulose,SWE
Punica granatum,"ARE, AUS, AUT, BGR, CAN, CHE, COD, DEU, ESP, EST, GBR, GRC, IDN, IND, IRN, ITA, JOR, LTU, LVA, MYS, NOR, PER, POL, PRI, RUS, SGP, THA, TUR, TWN, USA, ZAF"
Corymbia citriodora,"ARG, LVA, NZL"
Nardostachys grandiflora extract,
Cerasus humilis,COD
Aspoxicillin,"JPN, KOR"
Sequifenadine,
Lutetium (177Lu) J591,
Bitolterol mesilate,"ITA, JPN, PRI, USA"
Mardepodect,
Cypripedium parviflorum var.pubescens extract,POL
Prednisolone,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, VNM, YUG, ZAF, ZMB, ZWE"
Afuresertib,
Hemerocallis fulva root,
Cefradine,"ARE, BEL, BGD, CHL, CHN, CIV, COL, DEU, DOM, ECU, EGY, ESP, FIN, FRA, GBR, GRC, HKG, IDN, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NZL, PAK, PER, PHL, POL, PRI, PRT, SAU, SWE, THA, TUR, TWN, UGA, URY, USA, VEN, VNM, ZAF"
Azidocillin,TUR
Clometocillin,
Valeriana spp. root,"CAN, FRA, POL, RUS, UKR, ZAF"
Bovine Basic Fibroblast Growth Factor,CHN
Cernitin t60,"AUT, CHE, JPN, TWN"
Technetium tc 99m sulfur colloid,USA
Nerelimomab,
Amoxicillin,"ARE, ARG, AUS, BEL, BFA, BGD, BGR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, CZE, DEU, DOM, ECU, EGY, ESP, FIN, FRA, GBR, GHA, GRC, HKG, HRV, HUN, IDN, IND, IRL, ITA, JPN, KAZ, KOR, KWT, LBN, LTU, MAR, MYS, NLD, OMN, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, TUN, TUR, UGA, UKR, URY, USA, VEN, VNM, YUG, ZAF, ZMB, ZWE"
Plantago asiatica leaf,
Parthenolide,CAN
Levomethadyl acetate hydrochloride,"DEU, GBR, USA"
Landiolol,
Levamlodipine besilate,"BRA, CHN, COL, DOM, ETH, IND, KOR, PHL, UKR, ZMB"
Dexpramipexole dihydrochloride monohydrate,
Lathyrus sativus seed,DEU
Krameria lappacea,"ARG, AUS, BEL, BRA, KOR, RUS, SVK"
Arabinogalactan,"AUS, CAN, DEU, GBR, LTU, LVA, NZL, SGP, USA"
Curcuma longa extract,"AUS, CHL, DEU, ESP, HKG, IDN, IND, ITA, KOR, LTU, LVA, MEX, POL, RUS, THA, UKR, ZAF"
Epinephrine ascorbate,BGR
Mazipredone,HUN
Secale cereale seed,
Primula veris rhizome,
Herpetospermum caudigerum seed,CHN
Mecetronium etilsulfate,"AUT, BEL, BGR, COD, DEU, EGY, EST, FRA, GBR, GRC, LUX, LVA, NLD, PRT, RUS, SVN, UKR"
Benazepril,EGY
Pinus tabulaeformis,
Isopromethazine hydrochloride,"DEU, EST, LTU, LVA, RUS, UKR"
Aloe ferox latex,USA
Argemone mexicana root,
Scutellaria lateriflora herb,"AUS, DEU, IRN, NZL, SGP, USA"
Brassica juncea leaf,
Dulacia inopiflora,"AUS, IDN, LBN, MYS"
Eschscholzia californica,"AUS, CAN, CHE, ESP, EST, FRA, ITA, JOR, LBN, LTU, LVA, NZL, PRT"
Cefiderocol,
Orienx 010,
Mizagliflozin,
Piminodine,
Aviptadil,"FIN, GBR, KWT, NOR, NZL, SWE"
Pinus roxburghii turpentine,
Dexmecamylamine hydrochloride,
Fraxinus ornus juice,
Sodium phosphate monobasic (dihydrate),"ARG, AUT, BEL, BWA, COL, DEU, DNK, DOM, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, IDN, IND, IRL, ISL, JOR, LUX, MYS, NLD, NOR, PER, POL, PRT, ROM, SVN, SWE, THA, TWN, URY, USA, ZAF"
Carthamus tinctorius flower,"CHN, COD, JPN, KOR, NZL, SGP, USA"
Fexofenadine,"CHN, CIV, EGY, IND, KGZ, KOR, USA"
Dexamethasone propionate,"DOM, JPN, KOR"
Dipyridamole,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Citrus fibre,"AUS, CAN, DEU, ESP, GBR"
Hydrogenated lecithin,CAN
Bamethan sulfate,"ARE, ARG, BRA, DEU, ESP, FIN, FRA, GBR, ISR, JPN, KOR, LTU, LVA, POL, PRT, SWE, TUN, TWN"
Spirulina platensis,"ARG, AUS, CAN, CHN, COD, DEU, DNK, HKG, LTU, LVA, MYS, NZL, SGP, SWE, TUR, USA"
Ferrocholinate,"BFA, BRA, CIV, ESP, IND, LBN, ROM, USA"
Imidapril,CHN
Helleborus thibetanus,
Euphorbia hirta root,
Scopolia carniolica rhizome,
Solitomab,
Iopanoic acid,"ARG, BEL, BRA, CAN, CHN, CZE, ESP, FIN, GBR, HUN, ITA, JPN, LTU, LVA, MYS, NLD, POL, PRI, ROM, SWE, URY, USA, VEN, YUG"
Polyene phosphatidylcholine,"CHN, JPN"
Pueraria candollei var. mirifica root,MYS
Promazine phosphate,DEU
Dextrorphan hydrochloride,
Lobaplatin,CHN
Evacetrapib,
Camedon,
Indacaterol acetate,
Trichodesma zeylanicum,DEU
Choline fenofibrate,"ARG, CHL, COL, DOM, ECU, IND, KOR, PRI, TWN, USA"
Clocinizine hydrochloride,"ARG, BEL, EGY, ESP, FRA, HKG, ITA, KOR, LUX, MAR, PAK, TUN"
Crataegus macracantha,
Bentiamine laurilsulfate,DEU
Cobalt tartrate,FRA
Scutellaria baicalensis extract,"JPN, LTU, LVA"
Fulvic acid,"USA, ZAF"
Tixocortol,
Vecabrutinib,
Testosterone isocaproate,"ARG, AUS, BEL, BGD, BGR, BLR, BOL, BRA, BWA, CHL, CZE, DEU, EGY, FIN, GBR, HKG, HUN, IDN, IND, IRL, ISR, ITA, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NZL, PAK, PER, POL, RUS, SGP, SVK, TUN, TUR, TWN, VEN, ZAF"
Tiracizine hydrochloride,DEU
Peg-hirudin,GBR
Esonarimod,
Technetium tc 99m bicisate,"CHN, ESP, FRA, ITA, JPN, PRT, USA"
Aucklandia costus,"ARE, CHN, IND, JPN, KOR, SGP, ZAF"
Roxatidine acetate,"ESP, KOR"
Olsalazine,
Polygonum tinctorium,
BMS 986178,
Etriciguat,
Alvameline,
Triticum aestivum powder,COL
Crataegus laevigata ethanol extract,CHE
Spiramycin,"ARE, ARG, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHN, CIV, COD, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FRA, GBR, GRC, HKG, HUN, IDN, IND, ISR, ITA, JOR, JPN, KAZ, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRT, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UKR, URY, VEN, VNM, ZWE"
Achillea alpina,
Albizia julibrissin bark,"CHN, USA"
Facinicline,
Clobetasone,
Caroverine,"AUT, IND, KOR"
Salverine hydrochloride,AUT
Adipic acid,DEU
Cantuzumab ravtansine,
Lithium gamma-hydroglutaminate,UKR
Iodophor,USA
Ketobemidone,DNK
Penicillium solitum lipase,
Metaxalone,"EGY, IND, IRL, PRI, USA"
Stellaria media leaf,"NZL, USA"
Estrogens esterified,"ARG, CHE, CHL, ECU, IDN, PER, PRI, USA"
Piper nigrum fruit,"ARM, AUS, CAN, CHN, GBR, IND, ITA, LBN, MYS, NZL, RUS, SGP, TUR, USA, ZAF"
Promethazine hydrobromide,
Risdiplam,
Ferrous glutamate,ESP
Immunoglobulin antivenom crotalidae snakes,USA
Serratia marcescens,DEU
Benincasa hispida fruit peel ashes,
Etasulfate,
Passiflora incarnata flower,"AUS, AUT, CAN, CHE, EST, FRA, GBR, HUN, IRN, LTU, LVA, MYS, POL, USA"
Efloxate,"CHN, ITA, JPN, TWN"
Chromium(III) citrate,USA
Citrus aurantium peel,"AUS, AUT, BEL, CAN, DEU, EST, IDN, ITA, JOR, JPN, LTU, LVA, NLD, POL, PRI, RUS, SGP, TUR, USA, ZAF"
Spine marrow extract,FRA
IMAB 027,
Rhododendron dauricum leaf,CHN
Paeonia lactiflora extract,"CHN, DEU, JPN, KOR"
Gramicidin S hydrochloride,"IDN, RUS, SGP, THA"
Melilotus spp.,"DEU, ITA, JPN, KOR"
Capromab pendetide,
Galocitabine,
Edicotinib,
Fagopyrum esculentum extract,POL
Equisetum arvense herb powder,TUR
Lavandula angustifolia,"ARE, AUS, AUT, AZE, BRA, CAN, CHL, CZE, DEU, EGY, ESP, EST, FRA, IRN, ITA, JOR, KWT, LBN, LTU, LUX, LVA, NLD, NOR, NZL, POL, PRI, RUS, SVK, USA, ZAF"
Matricaria recutita flower dry extract,"AUS, ITA"
Istradefylline,"JPN, PRI, USA"
Vatalanib,
Naronapride dihydrochloride,
Schisandra rubriflora,
Metampicillin,"ESP, YUG"
Ribonucleic acid sodium,"DEU, RUS"
Aceclidine,"DEU, USA"
MEDI 0963,
Drynaria spp.,
Pseudolarix amabilis stem bark,CHN
Fenetylline,
Rhenium-186,
Citrus limon peel,"DEU, ZAF"
Citrus sinensis fruit peel,
Salvia prionitis herb,
Argyreia nervosa seed,USA
Levamlodipine maleate,USA
Dydrogesterone,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COL, CZE, DEU, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, USA, VEN, YUG, ZAF, ZWE"
Clodantoin,"CAN, FIN, GBR, JPN"
Maltose monohydrate,JPN
Congo red,
Berberis vulgaris,"AUS, AUT, BEL, BGR, BRA, CAN, CHE, CHL, COL, DEU, FRA, IRN, ITA, LTU, LUX, LVA, NLD, PAK, RUS, TUR, UKR, USA, ZAF"
Tenatoprazole,
Bisoxatin,
Viola arvensis extract,"DEU, LVA"
Pteris semipinnata,
Salvia divinorum,
Cefazolin benzathine,ESP
Voxilaprevir,"ARE, AUS, AUT, BEL, CAN, CZE, DEU, ESP, FIN, FRA, GBR, HRV, ITA, LUX, MEX, NLD, NOR, NZL, PRI, PRT, SAU, SVN, SWE, TUR, USA"
Turoctocog alfa,"ARE, ARG, AUT, BEL, BGR, CHE, COL, CZE, DNK, EGY, ESP, EST, FIN, FRA, GBR, GRC, ITA, JOR, JPN, LBN, LTU, LVA, MEX, NOR, PRI, PRT, SAU, SVK, SVN, SWE, THA, TUR, TWN, UKR, USA"
Atropa belladonna total alkaloid extract,JPN
Mirabilis himalaica,
Alchemilla alpina,
Kadsura oblongifolia,
Cod-liver oil,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, COD, COL, DEU, DOM, ECU, EGY, ESP, EST, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KWT, LBN, LTU, LUX, LVA, MEX, MYS, NLD, NOR, NZL, PAK, PER, POL, PRI, ROM, RUS, SAU, SGP, SWE, THA, TUN, TUR, TWN, URY, USA, VEN, ZAF, ZMB"
Menadiol diacetate,"ARG, AUS, BGR, CHL, CHN, DEU, EGY, GBR, HKG, IND, IRL, JPN, NZL"
Sintilimab,CHN
Sodium phosphate dibasic dihydrate,"DEU, FIN, FRA, GBR, GRC, KOR, LTU, NOR, PRT, ROM, SWE, USA"
Trifolium pratense herb,NZL
Curcuma zanthorrhiza oil,EGY
Piper angustifolium,
Tanacetum parthenium,"ARE, AUS, BRA, CAN, DEU, ESP, FRA, GBR, IDN, IRN, JPN, LBN, NZL, PRI, SGP, THA, TUR, USA, ZAF"
Lumacaftor,"ARG, AUS, AUT, BEL, CZE, DEU, FIN, FRA, GBR, IRL, ITA, NLD, NOR, PRI, PRT, SAU, SWE, USA"
Rosa gallica,"BRA, IRN"
Iobenguane sulfate I 123,"FRA, NLD, PRT, USA"
Camphor monobromide,"ARG, BLR, CAN, DEU, FRA, RUS, UKR, VNM"
Delparantag pentahydrochloride,
Triflupromazine,"DEU, USA"
Rhodiola rosea root with rhizome,"EST, GBR, LBN, NOR, RUS, SWE"
Calcium saccharate,"DEU, ITA, MYS, POL, SVK, TWN, USA"
Bavisant dihydrochloride,
Clidinium,
Syringa reticulata subsp. amurensis,
Campsis grandiflora herb,
Mepenzolate bromide,"ARG, AUS, GBR, IDN, ITA, JPN, MAR, PRI, SWE, TUN, TWN, USA"
Oxidronate disodium,
Eucalyptus viminalis herb,
Aquilaria agallocha,
Cardiac muscle extract,"ESP, FRA"
Ananas comosus fruit,"CAN, FRA, LTU"
PKI 166,
Diquafosol,
Idraparinux,
Emixustat,
Adenosine triphosphate,"AUT, BEL, CHN, DEU, DOM, EGY, ESP, FRA, HUN, IDN, ISR, JPN, KOR, LTU, LVA, PAK, PHL, POL, UKR, URY"
Oryza sativa oil,"CHN, MYS, THA, TWN"
Ketoprofen arginate,DEU
Vorhyaluronidase alfa,"PRI, USA"
Gidazepam,"RUS, UKR"
Aphanizomenon flos-aquae,"DEU, IDN, MYS, USA"
Opicinumab,
Dexfenfluramine hydrochloride,"AUS, BEL, BRA, CHE, CZE, EST, FIN, FRA, GBR, GRC, HUN, ITA, LTU, LVA, NLD, POL, PRT, THA, TUN, TUR, USA, VEN, ZAF"
Viola philippica,USA
2-Deoxy-d-glucose,
Benzoin,"AUS, BEL, CAN, CHE, CHN, DEU, EST, FRA, IRN, ITA, NZL, USA"
Zanthoxylum simulans fruit,
Follitropin alfa,"ARE, ARG, AUS, AUT, BEL, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LIE, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF"
Vaccaria hispanica herb,
PHA 665752,
Rubitecan,USA
Chenodeoxycholate magnesium,ITA
Befiradol,
Melilotus officinalis,"ARE, ARG, AUS, BRA, CHE, CHL, CHN, CZE, DEU, DOM, ESP, FRA, IRN, ITA, JPN, KOR, LBN, LTU, LUX, LVA, MAR, NLD, POL, PRI, RUS, SGP, TUN, UKR, USA, ZAF"
Goserelin acetate,"ARE, ARG, AUS, AUT, BEL, BFA, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COL, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, ZAF, ZMB, ZWE"
Spiramycin 2,JPN
Enoxacin gluconate,CHN
Lonicera spp. leaf with stem,
Timolol maleate,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, GTM, HKG, HRV, HUN, IDN, IND, IRL, IRN, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MCO, MEX, MYS, NGA, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, YUG, ZAF, ZMB, ZWE"
Aloe vera mucilage,"AUS, CHN"
Mimosa pudica,"IND, LVA, SGP, UKR, ZAF"
Zanthoxylum piperitum fruit,
Xentuzumab,
Erica arborea extract,LVA
Morsuximide,
Gestonorone,
Aclatonium napadisilate,"JPN, KOR"
Influenza A(H1N1)pdm09 vaccine,"CAN, GBR, IND, USA"
Pulmonaria spp. extract,"DEU, EST"
BL 8040,
Lidocaine hydrochloride,"ARE, ARG, ARM, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GDR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, VNM, YUG, ZAF, ZMB, ZWE"
Lygodium japonicum herb,CHN
Imidapril hydrochloride,"ARE, ARG, AUT, BGD, CHN, CZE, DEU, DOM, EGY, ESP, EST, FIN, FRA, GBR, GRC, HKG, IDN, IND, ITA, JOR, JPN, KOR, LUX, LVA, MYS, PAK, PHL, POL, PRT, SGP, SVK, THA, TUN, TWN, VNM"
Pyrogallol,PRI
Chlormidazole,
Vorinostat,"ARG, AUS, CHL, COL, ECU, EST, HKG, JPN, LVA, MYS, PER, POL, RUS, USA"
Sisomicin,"FRA, USA"
Mucopolysaccharides,"ARG, CAN, ESP, IND, ITA, POL, RUS, SGP, TUR"
Potassium hydroxyquinoline sulfate,"BWA, DEU, ESP, FRA, GBR, IRL, LBN, PAK, SVK, TWN, ZAF"
Eravacycline,"PRI, USA"
Deanol acetamidobenzoate,"CAN, DEU, POL, PRT, USA"
Taraxacum officinale fluid extract,"CZE, SVK"
Klebsiella pneumoniae inactivated,"DEU, LVA"
Tamarix chinensis,
Doxorubicin hydrochloride,"ARE, ARG, AUS, AUT, BEL, BFA, BGD, BGR, BLR, BRA, BWA, CAN, CHE, CHL, CHN, CIV, COD, COL, CZE, DEU, DNK, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HRV, HUN, IDN, IND, IRL, ISR, ITA, JOR, JPN, KGZ, KOR, KWT, LBN, LTU, LUX, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, ROM, RUS, SAU, SGP, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, URY, USA, VEN, YUG, ZAF, ZMB, ZWE"
Bacopa monnieri leaf,"FRA, USA"
Abies spectabilis leaf,
Amorphophallus konjac whole plant,
Ilex pubescens,CHN
R 7112,
JTT 851,
