substance_name,approval_countries
Coal tar,"ARE, ARG, AUS, AUT, BEL, BGD, BGR, BLR, BRA, BWA, CAN, CHN, COL, CRI, CUB, CZE, DEU, DOM, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HUN, IND, IRL, ISR, ITA, JOR, JPN, KOR, KWT, LBN, LVA, MAR, MEX, MYS, NLD, NOR, NZL, PAK, PER, PHL, POL, PRI, PRT, RUS, SAU, SGP, SWE, THA, TUR, TWN, UKR, URY, USA, VEN, ZAF"
Dienestrol acetate,"DEU, DNK"
Hydrocotarnine hydrochloride monohydrate,JPN
Trelagliptin,
Istiratumab,
Medronate disodium,"DEU, GBR, USA"
Benincasa hispida,
Utipina,ITA
ABBV 428,
Cubeba nos,
Ardisia japonica root,
Fluperolone,
Tamarix gallica herb,
Ampelopsis japonica,
Rabies vaccine inact (human diploid),"ARE, BEL, BGD, CAN, CZE, DEU, ESP, FIN, GBR, HUN, IND, ITA, LUX, NOR, NZL, PRI, ROM, SAU, SVK, SWE, THA, TUR, USA, ZMB"
Smilax glabra rhizome,"CHN, JPN, SGP, UKR, USA, VNM"
Deanol bitartrate,"ARM, CAN, CHE, DEU, ECU, EGY, ESP, FRA, ITA, KOR, KWT, LVA, PER, PRY, SGP, UGA, USA, VEN"
Ronifibrate,ITA
Celiprolol,CHN
Morphine sulfate pentahydrate,"AUS, AUT, BEL, CAN, CHE, CHL, DEU, ESP, FIN, FRA, GBR, IRL, ITA, KGZ, LUX, MEX, NLD, NOR, POL, PRI, PRT, SWE, THA, USA"
Humulus lupulus fruit,"AUS, LTU, LVA, NZL, RUS"
Cenerimod,
Bcg vaccine,"ARE, AUS, AUT, BGR, BWA, CAN, CHL, CHN, CZE, DNK, ECU, EGY, ESP, EST, ETH, FIN, FRA, GBR, GRC, HKG, HUN, IDN, IND, IRL, ITA, JPN, KOR, LBN, LTU, LVA, MAR, MEX, MYS, NLD, NOR, PAK, PHL, POL, PRI, RUS, SAU, SGP, SRB, SVK, SVN, SWE, THA, TUN, TUR, TWN, UGA, UKR, USA, ZAF, ZWE"
Epilobium parviflorum,"AUS, DEU, IRN, LVA, POL, SAU"
Paramethasone disodium phosphate,"DEU, ESP"
Hordeum vulgare oil,DEU
